[0]	validate-mlogloss:1.33153	train-mlogloss:1.33194
[184]	validate-mlogloss:0.02412	train-mlogloss:0.03128
[185]	validate-mlogloss:0.02393	train-mlogloss:0.03110
[186]	validate-mlogloss:0.02382	train-mlogloss:0.03100
[187]	validate-mlogloss:0.02371	train-mlogloss:0.03084
[188]	validate-mlogloss:0.02364	train-mlogloss:0.03077
[189]	validate-mlogloss:0.02355	train-mlogloss:0.03066
[190]	validate-mlogloss:0.02350	train-mlogloss:0.03040
[191]	validate-mlogloss:0.02339	train-mlogloss:0.03027
[192]	validate-mlogloss:0.02335	train-mlogloss:0.03009
[193]	validate-mlogloss:0.02330	train-mlogloss:0.02995
[194]	validate-mlogloss:0.02321	train-mlogloss:0.02983
[195]	validate-mlogloss:0.02322	train-mlogloss:0.02982
[196]	validate-mlogloss:0.02321	train-mlogloss:0.02983
[197]	validate-mlogloss:0.02321	train-mlogloss:0.02982
[198]	validate-mlogloss:0.02314	train-mlogloss:0.02965
[199]	validate-mlogloss:0.02307	train-mlogloss:0.02948
[200]	validate-mlogloss:0.02299	train-mlogloss:0.02940
[201]	validate-mlogloss:0.02290	train-mlogloss:0.02932
[202]	validate-mlogloss:0.02284	train-mlogloss:0.02918
[203]	validate-mlogloss:0.02279	train-mlogloss:0.02908
[204]	validate-mlogloss:0.02272	train-mlogloss:0.02889
[205]	validate-mlogloss:0.02255	train-mlogloss:0.02876
[206]	validate-mlogloss:0.02238	train-mlogloss:0.02860
[207]	validate-mlogloss:0.02233	train-mlogloss:0.02848
[208]	validate-mlogloss:0.02229	train-mlogloss:0.02839
[209]	validate-mlogloss:0.02217	train-mlogloss:0.02821
[210]	validate-mlogloss:0.02213	train-mlogloss:0.02811
[211]	validate-mlogloss:0.02201	train-mlogloss:0.02798
[212]	validate-mlogloss:0.02201	train-mlogloss:0.02790
[213]	validate-mlogloss:0.02198	train-mlogloss:0.02778
[214]	validate-mlogloss:0.02188	train-mlogloss:0.02773
[215]	validate-mlogloss:0.02187	train-mlogloss:0.02772
[216]	validate-mlogloss:0.02183	train-mlogloss:0.02764
[217]	validate-mlogloss:0.02184	train-mlogloss:0.02757
[218]	validate-mlogloss:0.02179	train-mlogloss:0.02739
[219]	validate-mlogloss:0.02179	train-mlogloss:0.02738
[220]	validate-mlogloss:0.02174	train-mlogloss:0.02728
[221]	validate-mlogloss:0.02170	train-mlogloss:0.02713
[222]	validate-mlogloss:0.02164	train-mlogloss:0.02703
[223]	validate-mlogloss:0.02153	train-mlogloss:0.02697
[224]	validate-mlogloss:0.02154	train-mlogloss:0.02689
[225]	validate-mlogloss:0.02159	train-mlogloss:0.02682
[226]	validate-mlogloss:0.02154	train-mlogloss:0.02667
[227]	validate-mlogloss:0.02140	train-mlogloss:0.02661
[228]	validate-mlogloss:0.02136	train-mlogloss:0.02654
[229]	validate-mlogloss:0.02122	train-mlogloss:0.02638
[230]	validate-mlogloss:0.02105	train-mlogloss:0.02626
[231]	validate-mlogloss:0.02096	train-mlogloss:0.02615
[232]	validate-mlogloss:0.02087	train-mlogloss:0.02598
[233]	validate-mlogloss:0.02082	train-mlogloss:0.02581
[234]	validate-mlogloss:0.02086	train-mlogloss:0.02574
[235]	validate-mlogloss:0.02084	train-mlogloss:0.02567
[236]	validate-mlogloss:0.02078	train-mlogloss:0.02557
[237]	validate-mlogloss:0.02078	train-mlogloss:0.02556
[238]	validate-mlogloss:0.02079	train-mlogloss:0.02551
[239]	validate-mlogloss:0.02070	train-mlogloss:0.02540
[240]	validate-mlogloss:0.02051	train-mlogloss:0.02529
[241]	validate-mlogloss:0.02045	train-mlogloss:0.02514
[242]	validate-mlogloss:0.02045	train-mlogloss:0.02514
[243]	validate-mlogloss:0.02040	train-mlogloss:0.02507
[244]	validate-mlogloss:0.02039	train-mlogloss:0.02507
[245]	validate-mlogloss:0.02035	train-mlogloss:0.02502
[246]	validate-mlogloss:0.02029	train-mlogloss:0.02487
[247]	validate-mlogloss:0.02020	train-mlogloss:0.02482
[248]	validate-mlogloss:0.02016	train-mlogloss:0.02474
[249]	validate-mlogloss:0.02014	train-mlogloss:0.02463
[250]	validate-mlogloss:0.02018	train-mlogloss:0.02457
[251]	validate-mlogloss:0.02012	train-mlogloss:0.02449
[252]	validate-mlogloss:0.02006	train-mlogloss:0.02441
[253]	validate-mlogloss:0.02004	train-mlogloss:0.02434
[254]	validate-mlogloss:0.02005	train-mlogloss:0.02434
[255]	validate-mlogloss:0.02005	train-mlogloss:0.02433
[256]	validate-mlogloss:0.01996	train-mlogloss:0.02422
[257]	validate-mlogloss:0.01995	train-mlogloss:0.02421
[258]	validate-mlogloss:0.01990	train-mlogloss:0.02418
[259]	validate-mlogloss:0.01987	train-mlogloss:0.02414
[260]	validate-mlogloss:0.01983	train-mlogloss:0.02410
[261]	validate-mlogloss:0.01983	train-mlogloss:0.02410
[262]	validate-mlogloss:0.01983	train-mlogloss:0.02409
[263]	validate-mlogloss:0.01986	train-mlogloss:0.02396
[264]	validate-mlogloss:0.01983	train-mlogloss:0.02387
[265]	validate-mlogloss:0.01980	train-mlogloss:0.02384
[266]	validate-mlogloss:0.01977	train-mlogloss:0.02378
[267]	validate-mlogloss:0.01972	train-mlogloss:0.02374
[268]	validate-mlogloss:0.01972	train-mlogloss:0.02373
[269]	validate-mlogloss:0.01971	train-mlogloss:0.02374
[270]	validate-mlogloss:0.01969	train-mlogloss:0.02369
[271]	validate-mlogloss:0.01970	train-mlogloss:0.02366
[272]	validate-mlogloss:0.01969	train-mlogloss:0.02366
[273]	validate-mlogloss:0.01966	train-mlogloss:0.02358
[274]	validate-mlogloss:0.01967	train-mlogloss:0.02357
[275]	validate-mlogloss:0.01964	train-mlogloss:0.02353
[276]	validate-mlogloss:0.01965	train-mlogloss:0.02353
[277]	validate-mlogloss:0.01963	train-mlogloss:0.02344
[278]	validate-mlogloss:0.01964	train-mlogloss:0.02344
[279]	validate-mlogloss:0.01957	train-mlogloss:0.02340
[280]	validate-mlogloss:0.01956	train-mlogloss:0.02334
[281]	validate-mlogloss:0.01947	train-mlogloss:0.02324
[282]	validate-mlogloss:0.01943	train-mlogloss:0.02314
[283]	validate-mlogloss:0.01937	train-mlogloss:0.02301
[284]	validate-mlogloss:0.01934	train-mlogloss:0.02291
[285]	validate-mlogloss:0.01935	train-mlogloss:0.02290
[286]	validate-mlogloss:0.01934	train-mlogloss:0.02290
[287]	validate-mlogloss:0.01935	train-mlogloss:0.02276
[288]	validate-mlogloss:0.01935	train-mlogloss:0.02275
[289]	validate-mlogloss:0.01932	train-mlogloss:0.02270
[290]	validate-mlogloss:0.01930	train-mlogloss:0.02263
[291]	validate-mlogloss:0.01928	train-mlogloss:0.02263
[292]	validate-mlogloss:0.01928	train-mlogloss:0.02263
[293]	validate-mlogloss:0.01932	train-mlogloss:0.02258
[294]	validate-mlogloss:0.01931	train-mlogloss:0.02251
[295]	validate-mlogloss:0.01930	train-mlogloss:0.02250
[296]	validate-mlogloss:0.01931	train-mlogloss:0.02250
[297]	validate-mlogloss:0.01932	train-mlogloss:0.02250
[298]	validate-mlogloss:0.01934	train-mlogloss:0.02250
[299]	validate-mlogloss:0.01935	train-mlogloss:0.02250
[300]	validate-mlogloss:0.01932	train-mlogloss:0.02246
[301]	validate-mlogloss:0.01932	train-mlogloss:0.02241
[302]	validate-mlogloss:0.01931	train-mlogloss:0.02238
[303]	validate-mlogloss:0.01926	train-mlogloss:0.02229
[304]	validate-mlogloss:0.01926	train-mlogloss:0.02229
[305]	validate-mlogloss:0.01923	train-mlogloss:0.02220
[306]	validate-mlogloss:0.01921	train-mlogloss:0.02212
[307]	validate-mlogloss:0.01922	train-mlogloss:0.02212
[308]	validate-mlogloss:0.01923	train-mlogloss:0.02212
[309]	validate-mlogloss:0.01914	train-mlogloss:0.02208
[310]	validate-mlogloss:0.01914	train-mlogloss:0.02207
[311]	validate-mlogloss:0.01912	train-mlogloss:0.02205
[312]	validate-mlogloss:0.01912	train-mlogloss:0.02199
[313]	validate-mlogloss:0.01910	train-mlogloss:0.02196
[314]	validate-mlogloss:0.01909	train-mlogloss:0.02196
[315]	validate-mlogloss:0.01907	train-mlogloss:0.02195
[316]	validate-mlogloss:0.01905	train-mlogloss:0.02187
[317]	validate-mlogloss:0.01904	train-mlogloss:0.02187
[318]	validate-mlogloss:0.01904	train-mlogloss:0.02186
[319]	validate-mlogloss:0.01905	train-mlogloss:0.02186
[320]	validate-mlogloss:0.01898	train-mlogloss:0.02183
[321]	validate-mlogloss:0.01898	train-mlogloss:0.02183
[322]	validate-mlogloss:0.01900	train-mlogloss:0.02183
[323]	validate-mlogloss:0.01899	train-mlogloss:0.02183
[324]	validate-mlogloss:0.01892	train-mlogloss:0.02177
[325]	validate-mlogloss:0.01889	train-mlogloss:0.02170
[326]	validate-mlogloss:0.01888	train-mlogloss:0.02170
[327]	validate-mlogloss:0.01887	train-mlogloss:0.02170
[328]	validate-mlogloss:0.01886	train-mlogloss:0.02162
[329]	validate-mlogloss:0.01886	train-mlogloss:0.02162
[330]	validate-mlogloss:0.01887	train-mlogloss:0.02162
[331]	validate-mlogloss:0.01885	train-mlogloss:0.02162
[332]	validate-mlogloss:0.01885	train-mlogloss:0.02152
[333]	validate-mlogloss:0.01885	train-mlogloss:0.02147
[334]	validate-mlogloss:0.01886	train-mlogloss:0.02147
[335]	validate-mlogloss:0.01883	train-mlogloss:0.02142
[336]	validate-mlogloss:0.01882	train-mlogloss:0.02142
[337]	validate-mlogloss:0.01881	train-mlogloss:0.02142
[338]	validate-mlogloss:0.01882	train-mlogloss:0.02141
[339]	validate-mlogloss:0.01881	train-mlogloss:0.02141
[340]	validate-mlogloss:0.01881	train-mlogloss:0.02141
[341]	validate-mlogloss:0.01881	train-mlogloss:0.02141
[342]	validate-mlogloss:0.01883	train-mlogloss:0.02141
[343]	validate-mlogloss:0.01882	train-mlogloss:0.02140
[344]	validate-mlogloss:0.01883	train-mlogloss:0.02135
[345]	validate-mlogloss:0.01883	train-mlogloss:0.02135
[346]	validate-mlogloss:0.01884	train-mlogloss:0.02135
[347]	validate-mlogloss:0.01881	train-mlogloss:0.02130
[348]	validate-mlogloss:0.01881	train-mlogloss:0.02130
[349]	validate-mlogloss:0.01881	train-mlogloss:0.02130
[350]	validate-mlogloss:0.01883	train-mlogloss:0.02130
[351]	validate-mlogloss:0.01880	train-mlogloss:0.02124
[352]	validate-mlogloss:0.01881	train-mlogloss:0.02120
[353]	validate-mlogloss:0.01880	train-mlogloss:0.02120
[354]	validate-mlogloss:0.01882	train-mlogloss:0.02120
[355]	validate-mlogloss:0.01876	train-mlogloss:0.02114
[356]	validate-mlogloss:0.01875	train-mlogloss:0.02108
[357]	validate-mlogloss:0.01874	train-mlogloss:0.02108
[358]	validate-mlogloss:0.01873	train-mlogloss:0.02099
[359]	validate-mlogloss:0.01873	train-mlogloss:0.02099
[360]	validate-mlogloss:0.01873	train-mlogloss:0.02095
[361]	validate-mlogloss:0.01872	train-mlogloss:0.02090
[362]	validate-mlogloss:0.01872	train-mlogloss:0.02090
[363]	validate-mlogloss:0.01868	train-mlogloss:0.02078
[364]	validate-mlogloss:0.01867	train-mlogloss:0.02078
[365]	validate-mlogloss:0.01867	train-mlogloss:0.02078
[366]	validate-mlogloss:0.01868	train-mlogloss:0.02078
[367]	validate-mlogloss:0.01869	train-mlogloss:0.02078
[368]	validate-mlogloss:0.01872	train-mlogloss:0.02074
[369]	validate-mlogloss:0.01873	train-mlogloss:0.02074
[370]	validate-mlogloss:0.01873	train-mlogloss:0.02074
[371]	validate-mlogloss:0.01874	train-mlogloss:0.02074
[372]	validate-mlogloss:0.01874	train-mlogloss:0.02073
[373]	validate-mlogloss:0.01875	train-mlogloss:0.02073
[374]	validate-mlogloss:0.01875	train-mlogloss:0.02073
[375]	validate-mlogloss:0.01875	train-mlogloss:0.02074
[376]	validate-mlogloss:0.01872	train-mlogloss:0.02066
[377]	validate-mlogloss:0.01870	train-mlogloss:0.02062
[378]	validate-mlogloss:0.01869	train-mlogloss:0.02055
[379]	validate-mlogloss:0.01869	train-mlogloss:0.02056
[380]	validate-mlogloss:0.01864	train-mlogloss:0.02050
[381]	validate-mlogloss:0.01864	train-mlogloss:0.02050
[382]	validate-mlogloss:0.01862	train-mlogloss:0.02050
[383]	validate-mlogloss:0.01862	train-mlogloss:0.02050
[384]	validate-mlogloss:0.01861	train-mlogloss:0.02050
[385]	validate-mlogloss:0.01859	train-mlogloss:0.02045
[386]	validate-mlogloss:0.01857	train-mlogloss:0.02039
[387]	validate-mlogloss:0.01856	train-mlogloss:0.02039
[388]	validate-mlogloss:0.01856	train-mlogloss:0.02039
[389]	validate-mlogloss:0.01856	train-mlogloss:0.02039
[390]	validate-mlogloss:0.01855	train-mlogloss:0.02039
[391]	validate-mlogloss:0.01854	train-mlogloss:0.02039
[392]	validate-mlogloss:0.01854	train-mlogloss:0.02036
[393]	validate-mlogloss:0.01851	train-mlogloss:0.02034
[394]	validate-mlogloss:0.01850	train-mlogloss:0.02034
[395]	validate-mlogloss:0.01849	train-mlogloss:0.02031
[396]	validate-mlogloss:0.01847	train-mlogloss:0.02031
[397]	validate-mlogloss:0.01849	train-mlogloss:0.02031
[398]	validate-mlogloss:0.01850	train-mlogloss:0.02030
[399]	validate-mlogloss:0.01851	train-mlogloss:0.02030
[400]	validate-mlogloss:0.01849	train-mlogloss:0.02030
[401]	validate-mlogloss:0.01850	train-mlogloss:0.02030
[402]	validate-mlogloss:0.01850	train-mlogloss:0.02026
[403]	validate-mlogloss:0.01850	train-mlogloss:0.02026
[404]	validate-mlogloss:0.01849	train-mlogloss:0.02026
[405]	validate-mlogloss:0.01849	train-mlogloss:0.02026
[406]	validate-mlogloss:0.01845	train-mlogloss:0.02023
[407]	validate-mlogloss:0.01844	train-mlogloss:0.02024
[408]	validate-mlogloss:0.01845	train-mlogloss:0.02023
[409]	validate-mlogloss:0.01845	train-mlogloss:0.02023
[410]	validate-mlogloss:0.01845	train-mlogloss:0.02023
[411]	validate-mlogloss:0.01844	train-mlogloss:0.02023
[412]	validate-mlogloss:0.01845	train-mlogloss:0.02023
[413]	validate-mlogloss:0.01843	train-mlogloss:0.02023
[414]	validate-mlogloss:0.01844	train-mlogloss:0.02023
[415]	validate-mlogloss:0.01845	train-mlogloss:0.02023
[416]	validate-mlogloss:0.01845	train-mlogloss:0.02023
[417]	validate-mlogloss:0.01844	train-mlogloss:0.02017
[418]	validate-mlogloss:0.01843	train-mlogloss:0.02013
[419]	validate-mlogloss:0.01843	train-mlogloss:0.02013
[420]	validate-mlogloss:0.01842	train-mlogloss:0.02013
[421]	validate-mlogloss:0.01843	train-mlogloss:0.02013
[422]	validate-mlogloss:0.01842	train-mlogloss:0.02013
[423]	validate-mlogloss:0.01843	train-mlogloss:0.02012
[424]	validate-mlogloss:0.01842	train-mlogloss:0.02012
[425]	validate-mlogloss:0.01843	train-mlogloss:0.02012
[426]	validate-mlogloss:0.01843	train-mlogloss:0.02012
[427]	validate-mlogloss:0.01837	train-mlogloss:0.02007
[428]	validate-mlogloss:0.01838	train-mlogloss:0.02007
[429]	validate-mlogloss:0.01837	train-mlogloss:0.02007
[430]	validate-mlogloss:0.01837	train-mlogloss:0.02007
[431]	validate-mlogloss:0.01836	train-mlogloss:0.02007
[432]	validate-mlogloss:0.01837	train-mlogloss:0.02007
[433]	validate-mlogloss:0.01838	train-mlogloss:0.02007
[434]	validate-mlogloss:0.01840	train-mlogloss:0.02007
[435]	validate-mlogloss:0.01842	train-mlogloss:0.02007
[436]	validate-mlogloss:0.01842	train-mlogloss:0.02006
[437]	validate-mlogloss:0.01843	train-mlogloss:0.02007
[438]	validate-mlogloss:0.01842	train-mlogloss:0.02007
[439]	validate-mlogloss:0.01841	train-mlogloss:0.02006
[440]	validate-mlogloss:0.01841	train-mlogloss:0.02006
[441]	validate-mlogloss:0.01842	train-mlogloss:0.02006
[442]	validate-mlogloss:0.01841	train-mlogloss:0.02007
[443]	validate-mlogloss:0.01839	train-mlogloss:0.02007
[444]	validate-mlogloss:0.01839	train-mlogloss:0.02007
[445]	validate-mlogloss:0.01839	train-mlogloss:0.02007
[446]	validate-mlogloss:0.01839	train-mlogloss:0.02007
[447]	validate-mlogloss:0.01838	train-mlogloss:0.02007
[448]	validate-mlogloss:0.01837	train-mlogloss:0.02007
[449]	validate-mlogloss:0.01841	train-mlogloss:0.02005
