[0]	validate-mlogloss:1.33441	train-mlogloss:1.33056
[119]	validate-mlogloss:0.11786	train-mlogloss:0.04638
[120]	validate-mlogloss:0.11721	train-mlogloss:0.04530
[121]	validate-mlogloss:0.11687	train-mlogloss:0.04426
[122]	validate-mlogloss:0.11609	train-mlogloss:0.04328
[123]	validate-mlogloss:0.11549	train-mlogloss:0.04234
[124]	validate-mlogloss:0.11489	train-mlogloss:0.04141
[125]	validate-mlogloss:0.11432	train-mlogloss:0.04053
[126]	validate-mlogloss:0.11369	train-mlogloss:0.03964
[127]	validate-mlogloss:0.11331	train-mlogloss:0.03874
[128]	validate-mlogloss:0.11250	train-mlogloss:0.03792
[129]	validate-mlogloss:0.11210	train-mlogloss:0.03717
[130]	validate-mlogloss:0.11198	train-mlogloss:0.03634
[131]	validate-mlogloss:0.11155	train-mlogloss:0.03563
[132]	validate-mlogloss:0.11097	train-mlogloss:0.03481
[133]	validate-mlogloss:0.11085	train-mlogloss:0.03407
[134]	validate-mlogloss:0.11010	train-mlogloss:0.03334
[135]	validate-mlogloss:0.10980	train-mlogloss:0.03265
[136]	validate-mlogloss:0.10881	train-mlogloss:0.03195
[137]	validate-mlogloss:0.10850	train-mlogloss:0.03131
[138]	validate-mlogloss:0.10786	train-mlogloss:0.03071
[139]	validate-mlogloss:0.10736	train-mlogloss:0.03010
[140]	validate-mlogloss:0.10702	train-mlogloss:0.02950
[141]	validate-mlogloss:0.10674	train-mlogloss:0.02886
[142]	validate-mlogloss:0.10652	train-mlogloss:0.02831
[143]	validate-mlogloss:0.10634	train-mlogloss:0.02775
[144]	validate-mlogloss:0.10587	train-mlogloss:0.02717
[145]	validate-mlogloss:0.10582	train-mlogloss:0.02665
[146]	validate-mlogloss:0.10570	train-mlogloss:0.02614
[147]	validate-mlogloss:0.10563	train-mlogloss:0.02565
[148]	validate-mlogloss:0.10554	train-mlogloss:0.02522
[149]	validate-mlogloss:0.10521	train-mlogloss:0.02471
[150]	validate-mlogloss:0.10535	train-mlogloss:0.02419
[151]	validate-mlogloss:0.10472	train-mlogloss:0.02371
[152]	validate-mlogloss:0.10457	train-mlogloss:0.02321
[153]	validate-mlogloss:0.10447	train-mlogloss:0.02277
[154]	validate-mlogloss:0.10401	train-mlogloss:0.02234
[155]	validate-mlogloss:0.10357	train-mlogloss:0.02194
[156]	validate-mlogloss:0.10345	train-mlogloss:0.02155
[157]	validate-mlogloss:0.10271	train-mlogloss:0.02125
[158]	validate-mlogloss:0.10228	train-mlogloss:0.02086
[159]	validate-mlogloss:0.10219	train-mlogloss:0.02042
[160]	validate-mlogloss:0.10198	train-mlogloss:0.02009
[161]	validate-mlogloss:0.10154	train-mlogloss:0.01969
[162]	validate-mlogloss:0.10134	train-mlogloss:0.01938
[163]	validate-mlogloss:0.10105	train-mlogloss:0.01902
[164]	validate-mlogloss:0.10121	train-mlogloss:0.01885
[165]	validate-mlogloss:0.10083	train-mlogloss:0.01853
[166]	validate-mlogloss:0.10096	train-mlogloss:0.01836
[167]	validate-mlogloss:0.10106	train-mlogloss:0.01811
[168]	validate-mlogloss:0.10146	train-mlogloss:0.01788
[169]	validate-mlogloss:0.10120	train-mlogloss:0.01767
[170]	validate-mlogloss:0.10096	train-mlogloss:0.01751
[171]	validate-mlogloss:0.10107	train-mlogloss:0.01739
[172]	validate-mlogloss:0.10097	train-mlogloss:0.01728
[173]	validate-mlogloss:0.10102	train-mlogloss:0.01703
[174]	validate-mlogloss:0.10121	train-mlogloss:0.01682
[175]	validate-mlogloss:0.10133	train-mlogloss:0.01666
[176]	validate-mlogloss:0.10115	train-mlogloss:0.01648
[177]	validate-mlogloss:0.10101	train-mlogloss:0.01634
[178]	validate-mlogloss:0.10099	train-mlogloss:0.01606
[179]	validate-mlogloss:0.10111	train-mlogloss:0.01594
[180]	validate-mlogloss:0.10122	train-mlogloss:0.01573
[181]	validate-mlogloss:0.10121	train-mlogloss:0.01562
[182]	validate-mlogloss:0.10142	train-mlogloss:0.01551
[183]	validate-mlogloss:0.10157	train-mlogloss:0.01546
[184]	validate-mlogloss:0.10169	train-mlogloss:0.01535
[185]	validate-mlogloss:0.10186	train-mlogloss:0.01528
[186]	validate-mlogloss:0.10197	train-mlogloss:0.01521
[187]	validate-mlogloss:0.10202	train-mlogloss:0.01515
[188]	validate-mlogloss:0.10206	train-mlogloss:0.01504
[189]	validate-mlogloss:0.10225	train-mlogloss:0.01493
[190]	validate-mlogloss:0.10231	train-mlogloss:0.01493
[191]	validate-mlogloss:0.10251	train-mlogloss:0.01483
[192]	validate-mlogloss:0.10263	train-mlogloss:0.01474
[193]	validate-mlogloss:0.10271	train-mlogloss:0.01471
[194]	validate-mlogloss:0.10270	train-mlogloss:0.01471
[195]	validate-mlogloss:0.10290	train-mlogloss:0.01463
[196]	validate-mlogloss:0.10312	train-mlogloss:0.01458
[197]	validate-mlogloss:0.10310	train-mlogloss:0.01458
[198]	validate-mlogloss:0.10287	train-mlogloss:0.01454
[199]	validate-mlogloss:0.10301	train-mlogloss:0.01450
[200]	validate-mlogloss:0.10324	train-mlogloss:0.01439
[201]	validate-mlogloss:0.10337	train-mlogloss:0.01430
[202]	validate-mlogloss:0.10353	train-mlogloss:0.01421
[203]	validate-mlogloss:0.10370	train-mlogloss:0.01415
[204]	validate-mlogloss:0.10354	train-mlogloss:0.01405
[205]	validate-mlogloss:0.10356	train-mlogloss:0.01400
[206]	validate-mlogloss:0.10333	train-mlogloss:0.01396
[207]	validate-mlogloss:0.10336	train-mlogloss:0.01396
[208]	validate-mlogloss:0.10340	train-mlogloss:0.01396
[209]	validate-mlogloss:0.10346	train-mlogloss:0.01391
[210]	validate-mlogloss:0.10347	train-mlogloss:0.01389
[211]	validate-mlogloss:0.10326	train-mlogloss:0.01380
[212]	validate-mlogloss:0.10323	train-mlogloss:0.01379
[213]	validate-mlogloss:0.10327	train-mlogloss:0.01374
[214]	validate-mlogloss:0.10327	train-mlogloss:0.01374
[215]	validate-mlogloss:0.10332	train-mlogloss:0.01371
[216]	validate-mlogloss:0.10319	train-mlogloss:0.01367
[217]	validate-mlogloss:0.10321	train-mlogloss:0.01360
[218]	validate-mlogloss:0.10337	train-mlogloss:0.01353
[219]	validate-mlogloss:0.10347	train-mlogloss:0.01350
[220]	validate-mlogloss:0.10349	train-mlogloss:0.01346
[221]	validate-mlogloss:0.10356	train-mlogloss:0.01342
[222]	validate-mlogloss:0.10359	train-mlogloss:0.01340
[223]	validate-mlogloss:0.10362	train-mlogloss:0.01334
[224]	validate-mlogloss:0.10369	train-mlogloss:0.01334
[225]	validate-mlogloss:0.10348	train-mlogloss:0.01331
[226]	validate-mlogloss:0.10324	train-mlogloss:0.01330
[227]	validate-mlogloss:0.10328	train-mlogloss:0.01330
[228]	validate-mlogloss:0.10319	train-mlogloss:0.01329
[229]	validate-mlogloss:0.10317	train-mlogloss:0.01326
[230]	validate-mlogloss:0.10333	train-mlogloss:0.01318
[231]	validate-mlogloss:0.10335	train-mlogloss:0.01314
[232]	validate-mlogloss:0.10337	train-mlogloss:0.01314
[233]	validate-mlogloss:0.10335	train-mlogloss:0.01310
[234]	validate-mlogloss:0.10314	train-mlogloss:0.01301
[235]	validate-mlogloss:0.10315	train-mlogloss:0.01301
[236]	validate-mlogloss:0.10324	train-mlogloss:0.01301
[237]	validate-mlogloss:0.10313	train-mlogloss:0.01301
[238]	validate-mlogloss:0.10315	train-mlogloss:0.01296
[239]	validate-mlogloss:0.10322	train-mlogloss:0.01292
[240]	validate-mlogloss:0.10335	train-mlogloss:0.01287
[241]	validate-mlogloss:0.10331	train-mlogloss:0.01287
[242]	validate-mlogloss:0.10328	train-mlogloss:0.01287
[243]	validate-mlogloss:0.10337	train-mlogloss:0.01283
[244]	validate-mlogloss:0.10338	train-mlogloss:0.01283
[245]	validate-mlogloss:0.10345	train-mlogloss:0.01281
[246]	validate-mlogloss:0.10344	train-mlogloss:0.01281
[247]	validate-mlogloss:0.10349	train-mlogloss:0.01281
[248]	validate-mlogloss:0.10343	train-mlogloss:0.01281
[249]	validate-mlogloss:0.10346	train-mlogloss:0.01278
[250]	validate-mlogloss:0.10346	train-mlogloss:0.01278
[251]	validate-mlogloss:0.10323	train-mlogloss:0.01273
[252]	validate-mlogloss:0.10338	train-mlogloss:0.01267
[253]	validate-mlogloss:0.10348	train-mlogloss:0.01265
[254]	validate-mlogloss:0.10341	train-mlogloss:0.01265
[255]	validate-mlogloss:0.10356	train-mlogloss:0.01257
[256]	validate-mlogloss:0.10362	train-mlogloss:0.01253
[257]	validate-mlogloss:0.10350	train-mlogloss:0.01253
[258]	validate-mlogloss:0.10349	train-mlogloss:0.01249
[259]	validate-mlogloss:0.10353	train-mlogloss:0.01249
[260]	validate-mlogloss:0.10364	train-mlogloss:0.01246
[261]	validate-mlogloss:0.10365	train-mlogloss:0.01246
[262]	validate-mlogloss:0.10365	train-mlogloss:0.01246
[263]	validate-mlogloss:0.10363	train-mlogloss:0.01246
[264]	validate-mlogloss:0.10372	train-mlogloss:0.01242
[265]	validate-mlogloss:0.10376	train-mlogloss:0.01243
[266]	validate-mlogloss:0.10375	train-mlogloss:0.01243
[267]	validate-mlogloss:0.10394	train-mlogloss:0.01241
[268]	validate-mlogloss:0.10387	train-mlogloss:0.01241
[269]	validate-mlogloss:0.10373	train-mlogloss:0.01240
[270]	validate-mlogloss:0.10386	train-mlogloss:0.01241
[271]	validate-mlogloss:0.10389	train-mlogloss:0.01237
[272]	validate-mlogloss:0.10383	train-mlogloss:0.01237
[273]	validate-mlogloss:0.10382	train-mlogloss:0.01236
[274]	validate-mlogloss:0.10376	train-mlogloss:0.01236
[275]	validate-mlogloss:0.10374	train-mlogloss:0.01236
[276]	validate-mlogloss:0.10364	train-mlogloss:0.01236
[277]	validate-mlogloss:0.10364	train-mlogloss:0.01236
[278]	validate-mlogloss:0.10382	train-mlogloss:0.01236
[279]	validate-mlogloss:0.10379	train-mlogloss:0.01236
[280]	validate-mlogloss:0.10377	train-mlogloss:0.01236
[281]	validate-mlogloss:0.10376	train-mlogloss:0.01236
[282]	validate-mlogloss:0.10365	train-mlogloss:0.01235
[283]	validate-mlogloss:0.10373	train-mlogloss:0.01232
[284]	validate-mlogloss:0.10370	train-mlogloss:0.01232
[285]	validate-mlogloss:0.10366	train-mlogloss:0.01232
[286]	validate-mlogloss:0.10364	train-mlogloss:0.01231
[287]	validate-mlogloss:0.10368	train-mlogloss:0.01228
[288]	validate-mlogloss:0.10373	train-mlogloss:0.01228
[289]	validate-mlogloss:0.10370	train-mlogloss:0.01228
[290]	validate-mlogloss:0.10368	train-mlogloss:0.01228
[291]	validate-mlogloss:0.10356	train-mlogloss:0.01228
[292]	validate-mlogloss:0.10370	train-mlogloss:0.01221
[293]	validate-mlogloss:0.10371	train-mlogloss:0.01221
[294]	validate-mlogloss:0.10374	train-mlogloss:0.01217
[295]	validate-mlogloss:0.10378	train-mlogloss:0.01217
[296]	validate-mlogloss:0.10386	train-mlogloss:0.01214
[297]	validate-mlogloss:0.10378	train-mlogloss:0.01213
[298]	validate-mlogloss:0.10384	train-mlogloss:0.01210
[299]	validate-mlogloss:0.10387	train-mlogloss:0.01206
[300]	validate-mlogloss:0.10385	train-mlogloss:0.01207
[301]	validate-mlogloss:0.10402	train-mlogloss:0.01202
[302]	validate-mlogloss:0.10403	train-mlogloss:0.01200
[303]	validate-mlogloss:0.10404	train-mlogloss:0.01200
[304]	validate-mlogloss:0.10415	train-mlogloss:0.01200
[305]	validate-mlogloss:0.10409	train-mlogloss:0.01200
[306]	validate-mlogloss:0.10407	train-mlogloss:0.01199
[307]	validate-mlogloss:0.10403	train-mlogloss:0.01199
[308]	validate-mlogloss:0.10405	train-mlogloss:0.01199
[309]	validate-mlogloss:0.10392	train-mlogloss:0.01199
[310]	validate-mlogloss:0.10391	train-mlogloss:0.01199
[311]	validate-mlogloss:0.10372	train-mlogloss:0.01198
[312]	validate-mlogloss:0.10373	train-mlogloss:0.01198
[313]	validate-mlogloss:0.10371	train-mlogloss:0.01198
[314]	validate-mlogloss:0.10377	train-mlogloss:0.01198
[315]	validate-mlogloss:0.10377	train-mlogloss:0.01198
[316]	validate-mlogloss:0.10374	train-mlogloss:0.01198
[317]	validate-mlogloss:0.10370	train-mlogloss:0.01198
[318]	validate-mlogloss:0.10376	train-mlogloss:0.01198
[319]	validate-mlogloss:0.10371	train-mlogloss:0.01198
[320]	validate-mlogloss:0.10373	train-mlogloss:0.01198
[321]	validate-mlogloss:0.10365	train-mlogloss:0.01198
[322]	validate-mlogloss:0.10364	train-mlogloss:0.01198
[323]	validate-mlogloss:0.10360	train-mlogloss:0.01198
[324]	validate-mlogloss:0.10359	train-mlogloss:0.01198
[325]	validate-mlogloss:0.10361	train-mlogloss:0.01198
[326]	validate-mlogloss:0.10348	train-mlogloss:0.01195
[327]	validate-mlogloss:0.10339	train-mlogloss:0.01195
[328]	validate-mlogloss:0.10340	train-mlogloss:0.01192
[329]	validate-mlogloss:0.10352	train-mlogloss:0.01189
[330]	validate-mlogloss:0.10327	train-mlogloss:0.01185
[331]	validate-mlogloss:0.10326	train-mlogloss:0.01185
[332]	validate-mlogloss:0.10332	train-mlogloss:0.01182
[333]	validate-mlogloss:0.10323	train-mlogloss:0.01182
[334]	validate-mlogloss:0.10334	train-mlogloss:0.01180
[335]	validate-mlogloss:0.10333	train-mlogloss:0.01180
[336]	validate-mlogloss:0.10342	train-mlogloss:0.01180
[337]	validate-mlogloss:0.10342	train-mlogloss:0.01180
[338]	validate-mlogloss:0.10337	train-mlogloss:0.01180
[339]	validate-mlogloss:0.10341	train-mlogloss:0.01180
[340]	validate-mlogloss:0.10354	train-mlogloss:0.01176
[341]	validate-mlogloss:0.10350	train-mlogloss:0.01176
[342]	validate-mlogloss:0.10365	train-mlogloss:0.01173
[343]	validate-mlogloss:0.10364	train-mlogloss:0.01173
[344]	validate-mlogloss:0.10363	train-mlogloss:0.01171
[345]	validate-mlogloss:0.10364	train-mlogloss:0.01171
[346]	validate-mlogloss:0.10369	train-mlogloss:0.01168
[347]	validate-mlogloss:0.10381	train-mlogloss:0.01168
[348]	validate-mlogloss:0.10387	train-mlogloss:0.01166
[349]	validate-mlogloss:0.10390	train-mlogloss:0.01166
[350]	validate-mlogloss:0.10391	train-mlogloss:0.01166
[351]	validate-mlogloss:0.10399	train-mlogloss:0.01166
[352]	validate-mlogloss:0.10382	train-mlogloss:0.01163
[353]	validate-mlogloss:0.10387	train-mlogloss:0.01163
[354]	validate-mlogloss:0.10389	train-mlogloss:0.01160
[355]	validate-mlogloss:0.10384	train-mlogloss:0.01160
[356]	validate-mlogloss:0.10395	train-mlogloss:0.01160
[357]	validate-mlogloss:0.10391	train-mlogloss:0.01160
[358]	validate-mlogloss:0.10400	train-mlogloss:0.01157
[359]	validate-mlogloss:0.10377	train-mlogloss:0.01154
[360]	validate-mlogloss:0.10380	train-mlogloss:0.01154
[361]	validate-mlogloss:0.10384	train-mlogloss:0.01154
[362]	validate-mlogloss:0.10382	train-mlogloss:0.01154
[363]	validate-mlogloss:0.10384	train-mlogloss:0.01154
[364]	validate-mlogloss:0.10385	train-mlogloss:0.01154
[365]	validate-mlogloss:0.10387	train-mlogloss:0.01154
[366]	validate-mlogloss:0.10382	train-mlogloss:0.01154
[367]	validate-mlogloss:0.10373	train-mlogloss:0.01154
[368]	validate-mlogloss:0.10365	train-mlogloss:0.01154
[369]	validate-mlogloss:0.10372	train-mlogloss:0.01154
[370]	validate-mlogloss:0.10377	train-mlogloss:0.01154
[371]	validate-mlogloss:0.10379	train-mlogloss:0.01154
[372]	validate-mlogloss:0.10389	train-mlogloss:0.01154
[373]	validate-mlogloss:0.10374	train-mlogloss:0.01154
[374]	validate-mlogloss:0.10357	train-mlogloss:0.01151
[375]	validate-mlogloss:0.10362	train-mlogloss:0.01151
[376]	validate-mlogloss:0.10367	train-mlogloss:0.01151
[377]	validate-mlogloss:0.10373	train-mlogloss:0.01149
[378]	validate-mlogloss:0.10379	train-mlogloss:0.01149
[379]	validate-mlogloss:0.10393	train-mlogloss:0.01149
[380]	validate-mlogloss:0.10389	train-mlogloss:0.01149
[381]	validate-mlogloss:0.10399	train-mlogloss:0.01146
[382]	validate-mlogloss:0.10406	train-mlogloss:0.01146
[383]	validate-mlogloss:0.10407	train-mlogloss:0.01146
[384]	validate-mlogloss:0.10403	train-mlogloss:0.01146
[385]	validate-mlogloss:0.10402	train-mlogloss:0.01144
[386]	validate-mlogloss:0.10418	train-mlogloss:0.01142
[387]	validate-mlogloss:0.10414	train-mlogloss:0.01142
[388]	validate-mlogloss:0.10411	train-mlogloss:0.01142
[389]	validate-mlogloss:0.10414	train-mlogloss:0.01142
[390]	validate-mlogloss:0.10410	train-mlogloss:0.01142
[391]	validate-mlogloss:0.10421	train-mlogloss:0.01142
[392]	validate-mlogloss:0.10408	train-mlogloss:0.01142
[393]	validate-mlogloss:0.10415	train-mlogloss:0.01142
[394]	validate-mlogloss:0.10415	train-mlogloss:0.01142
[395]	validate-mlogloss:0.10415	train-mlogloss:0.01142
[396]	validate-mlogloss:0.10410	train-mlogloss:0.01142
[397]	validate-mlogloss:0.10406	train-mlogloss:0.01142
[398]	validate-mlogloss:0.10410	train-mlogloss:0.01142
[399]	validate-mlogloss:0.10410	train-mlogloss:0.01142
[400]	validate-mlogloss:0.10419	train-mlogloss:0.01142
[401]	validate-mlogloss:0.10425	train-mlogloss:0.01142
[402]	validate-mlogloss:0.10426	train-mlogloss:0.01142
[403]	validate-mlogloss:0.10425	train-mlogloss:0.01142
[404]	validate-mlogloss:0.10421	train-mlogloss:0.01142
[405]	validate-mlogloss:0.10422	train-mlogloss:0.01142
[406]	validate-mlogloss:0.10433	train-mlogloss:0.01139
[407]	validate-mlogloss:0.10432	train-mlogloss:0.01139
[408]	validate-mlogloss:0.10432	train-mlogloss:0.01139
[409]	validate-mlogloss:0.10430	train-mlogloss:0.01139
[410]	validate-mlogloss:0.10424	train-mlogloss:0.01139
[411]	validate-mlogloss:0.10424	train-mlogloss:0.01139
[412]	validate-mlogloss:0.10432	train-mlogloss:0.01135
[413]	validate-mlogloss:0.10438	train-mlogloss:0.01133
[414]	validate-mlogloss:0.10435	train-mlogloss:0.01133
[415]	validate-mlogloss:0.10438	train-mlogloss:0.01133
[416]	validate-mlogloss:0.10438	train-mlogloss:0.01133
[417]	validate-mlogloss:0.10450	train-mlogloss:0.01133
[418]	validate-mlogloss:0.10439	train-mlogloss:0.01133
[419]	validate-mlogloss:0.10436	train-mlogloss:0.01133
[420]	validate-mlogloss:0.10429	train-mlogloss:0.01133
[421]	validate-mlogloss:0.10433	train-mlogloss:0.01134
[422]	validate-mlogloss:0.10429	train-mlogloss:0.01134
[423]	validate-mlogloss:0.10431	train-mlogloss:0.01134
[424]	validate-mlogloss:0.10432	train-mlogloss:0.01131
[425]	validate-mlogloss:0.10435	train-mlogloss:0.01131
[426]	validate-mlogloss:0.10442	train-mlogloss:0.01131
[427]	validate-mlogloss:0.10452	train-mlogloss:0.01131
[428]	validate-mlogloss:0.10458	train-mlogloss:0.01131
[429]	validate-mlogloss:0.10469	train-mlogloss:0.01131
[430]	validate-mlogloss:0.10474	train-mlogloss:0.01131
[431]	validate-mlogloss:0.10473	train-mlogloss:0.01131
[432]	validate-mlogloss:0.10473	train-mlogloss:0.01131
[433]	validate-mlogloss:0.10475	train-mlogloss:0.01131
[434]	validate-mlogloss:0.10477	train-mlogloss:0.01131
[435]	validate-mlogloss:0.10482	train-mlogloss:0.01131
[436]	validate-mlogloss:0.10496	train-mlogloss:0.01129
[437]	validate-mlogloss:0.10493	train-mlogloss:0.01129
[438]	validate-mlogloss:0.10497	train-mlogloss:0.01129
[439]	validate-mlogloss:0.10497	train-mlogloss:0.01129
[440]	validate-mlogloss:0.10491	train-mlogloss:0.01129
[441]	validate-mlogloss:0.10496	train-mlogloss:0.01129
[442]	validate-mlogloss:0.10495	train-mlogloss:0.01129
[443]	validate-mlogloss:0.10481	train-mlogloss:0.01129
[444]	validate-mlogloss:0.10476	train-mlogloss:0.01129
[445]	validate-mlogloss:0.10459	train-mlogloss:0.01125
[446]	validate-mlogloss:0.10461	train-mlogloss:0.01125
[447]	validate-mlogloss:0.10457	train-mlogloss:0.01126
[448]	validate-mlogloss:0.10448	train-mlogloss:0.01125
[449]	validate-mlogloss:0.10454	train-mlogloss:0.01125
